region,Year,AveragePrice
Albany,2015,1.53875
Albany,2016,1.5339423076923078
Albany,2017,1.6378301886792455
Albany,2018,1.4358333333333333
Atlanta,2015,1.3805769230769231
Atlanta,2016,1.2141346153846153
Atlanta,2017,1.4287735849056602
Atlanta,2018,1.28875
BaltimoreWashington,2015,1.3688461538461536
BaltimoreWashington,2016,1.587596153846154
BaltimoreWashington,2017,1.679433962264151
BaltimoreWashington,2018,1.3783333333333332
Boise,2015,1.37375
Boise,2016,1.141923076923077
Boise,2017,1.4926415094339622
Boise,2018,1.4925
Boston,2015,1.4735576923076923
Boston,2016,1.426153846153846
Boston,2017,1.6795283018867924
Boston,2018,1.5766666666666669
BuffaloRochester,2015,1.5446153846153847
BuffaloRochester,2016,1.4838461538461538
BuffaloRochester,2017,1.5877358490566038
BuffaloRochester,2018,1.22625
California,2015,1.3158653846153845
California,2016,1.3299038461538462
California,2017,1.533867924528302
California,2018,1.41125
Charlotte,2015,1.5757692307692308
Charlotte,2016,1.4978846153846155
Charlotte,2017,1.769811320754717
Charlotte,2018,1.4825
Chicago,2015,1.4040384615384616
Chicago,2016,1.5473076923076923
Chicago,2017,1.714811320754717
Chicago,2018,1.5616666666666665
CincinnatiDayton,2015,1.2023076923076923
CincinnatiDayton,2016,1.0883653846153847
CincinnatiDayton,2017,1.3194339622641509
CincinnatiDayton,2018,1.2758333333333334
Columbus,2015,1.2738461538461539
Columbus,2016,1.1863461538461537
Columbus,2017,1.3156603773584907
Columbus,2018,1.1716666666666666
DallasFtWorth,2015,1.0778846153846153
DallasFtWorth,2016,0.9961538461538461
DallasFtWorth,2017,1.1769811320754717
DallasFtWorth,2018,1.1029166666666665
Denver,2015,1.1877884615384615
Denver,2016,1.093173076923077
Denver,2017,1.3577358490566036
Denver,2018,1.2808333333333333
Detroit,2015,1.3382692307692308
Detroit,2016,1.1724038461538462
Detroit,2017,1.339056603773585
Detroit,2018,1.1779166666666667
GrandRapids,2015,1.416346153846154
GrandRapids,2016,1.509326923076923
GrandRapids,2017,1.6277358490566036
GrandRapids,2018,1.3283333333333334
GreatLakes,2015,1.3262500000000002
GreatLakes,2016,1.2770192307692307
GreatLakes,2017,1.4246226415094339
GreatLakes,2018,1.2783333333333333
HarrisburgScranton,2015,1.4716346153846156
HarrisburgScranton,2016,1.5116346153846154
HarrisburgScranton,2017,1.5957547169811321
HarrisburgScranton,2018,1.3366666666666667
HartfordSpringfield,2015,1.7477884615384616
HartfordSpringfield,2016,1.8510576923076922
HartfordSpringfield,2017,1.8883018867924528
HartfordSpringfield,2018,1.6775
Houston,2015,1.0480769230769231
Houston,2016,0.9919230769230769
Houston,2017,1.1040566037735848
Houston,2018,1.0420833333333333
Indianapolis,2015,1.3429807692307691
Indianapolis,2016,1.3015384615384618
Indianapolis,2017,1.330754716981132
Indianapolis,2018,1.1683333333333332
Jacksonville,2015,1.503076923076923
Jacksonville,2016,1.3676923076923078
Jacksonville,2017,1.6715094339622643
Jacksonville,2018,1.4566666666666668
LasVegas,2015,1.368846153846154
LasVegas,2016,1.3524038461538461
LasVegas,2017,1.4178301886792453
LasVegas,2018,1.39375
LosAngeles,2015,1.1525
LosAngeles,2016,1.08375
LosAngeles,2017,1.3773584905660377
LosAngeles,2018,1.3516666666666666
Louisville,2015,1.294423076923077
Louisville,2016,1.2115384615384615
Louisville,2017,1.357075471698113
Louisville,2018,1.2679166666666666
MiamiFtLauderdale,2015,1.3835576923076922
MiamiFtLauderdale,2016,1.2798076923076922
MiamiFtLauderdale,2017,1.6375471698113206
MiamiFtLauderdale,2018,1.3441666666666665
Midsouth,2015,1.3513461538461538
Midsouth,2016,1.3508653846153846
Midsouth,2017,1.5205660377358492
Midsouth,2018,1.3583333333333334
Nashville,2015,1.2772115384615386
Nashville,2016,1.116153846153846
Nashville,2017,1.24
Nashville,2018,1.2225
NewOrleansMobile,2015,1.2676923076923077
NewOrleansMobile,2016,1.2486538461538463
NewOrleansMobile,2017,1.4190566037735848
NewOrleansMobile,2018,1.2041666666666666
NewYork,2015,1.6445192307692307
NewYork,2016,1.7620192307692308
NewYork,2017,1.8099056603773584
NewYork,2018,1.5745833333333332
Northeast,2015,1.5437500000000002
Northeast,2016,1.595673076923077
Northeast,2017,1.694056603773585
Northeast,2018,1.4741666666666668
NorthernNewEngland,2015,1.4733653846153845
NorthernNewEngland,2016,1.3926923076923077
NorthernNewEngland,2017,1.5771698113207548
NorthernNewEngland,2018,1.42125
Orlando,2015,1.499326923076923
Orlando,2016,1.3707692307692307
Orlando,2017,1.680188679245283
Orlando,2018,1.3545833333333333
Philadelphia,2015,1.5551923076923078
Philadelphia,2016,1.6748076923076924
Philadelphia,2017,1.7072641509433961
Philadelphia,2018,1.4487500000000002
PhoenixTucson,2015,1.1571153846153845
PhoenixTucson,2016,1.25875
PhoenixTucson,2017,1.2725471698113207
PhoenixTucson,2018,1.155
Pittsburgh,2015,1.4072115384615385
Pittsburgh,2016,1.3433653846153848
Pittsburgh,2017,1.3629245283018867
Pittsburgh,2018,1.2754166666666666
Plains,2015,1.4378846153846152
Plains,2016,1.3775
Plains,2017,1.5104716981132076
Plains,2018,1.3595833333333334
Portland,2015,1.306826923076923
Portland,2016,1.1916346153846153
Portland,2017,1.4343396226415093
Portland,2018,1.39625
RaleighGreensboro,2015,1.449423076923077
RaleighGreensboro,2016,1.4477884615384615
RaleighGreensboro,2017,1.7686792452830187
RaleighGreensboro,2018,1.5350000000000001
RichmondNorfolk,2015,1.2745192307692308
RichmondNorfolk,2016,1.211153846153846
RichmondNorfolk,2017,1.399245283018868
RichmondNorfolk,2018,1.235
Roanoke,2015,1.2271153846153846
Roanoke,2016,1.1475
Roanoke,2017,1.3583018867924528
Roanoke,2018,1.2858333333333334
Sacramento,2015,1.4540384615384616
Sacramento,2016,1.668173076923077
Sacramento,2017,1.774056603773585
Sacramento,2018,1.4720833333333332
SanDiego,2015,1.2742307692307693
SanDiego,2016,1.31375
SanDiego,2017,1.5845283018867926
SanDiego,2018,1.4779166666666665
SanFrancisco,2015,1.6210576923076923
SanFrancisco,2016,1.88125
SanFrancisco,2017,1.965943396226415
SanFrancisco,2018,1.5495833333333333
Seattle,2015,1.4222115384615384
Seattle,2016,1.3002884615384613
Seattle,2017,1.5993396226415095
Seattle,2018,1.455
SouthCarolina,2015,1.4547115384615383
SouthCarolina,2016,1.305
SouthCarolina,2017,1.4798113207547168
SouthCarolina,2018,1.2683333333333333
SouthCentral,2015,1.112019230769231
SouthCentral,2016,1.0269230769230768
SouthCentral,2017,1.1628301886792454
SouthCentral,2018,1.1045833333333333
Southeast,2015,1.4147115384615385
Southeast,2016,1.286923076923077
Southeast,2017,1.5121698113207547
Southeast,2018,1.3029166666666667
Spokane,2015,1.4003846153846153
Spokane,2016,1.3335576923076924
Spokane,2017,1.6045283018867926
Spokane,2018,1.425
StLouis,2015,1.5033653846153845
StLouis,2016,1.1854807692307694
StLouis,2017,1.5917924528301886
StLouis,2018,1.4658333333333333
Syracuse,2015,1.5290384615384616
Syracuse,2016,1.5034615384615386
Syracuse,2017,1.589433962264151
Syracuse,2018,1.2504166666666667
Tampa,2015,1.3566346153846154
Tampa,2016,1.2645192307692308
Tampa,2017,1.6193396226415095
Tampa,2018,1.3308333333333333
TotalUS,2015,1.2574038461538461
TotalUS,2016,1.2635576923076923
TotalUS,2017,1.4366037735849058
TotalUS,2018,1.3070833333333334
West,2015,1.2377884615384613
West,2016,1.1808653846153847
West,2017,1.3900000000000001
West,2018,1.2970833333333334
WestTexNewMexico,2015,1.2593203883495145
WestTexNewMexico,2016,1.2466346153846155
WestTexNewMexico,2017,1.2815384615384615
WestTexNewMexico,2018,1.25125
